5, 2053, m, 2059, f, 2004, m, 2005, f, 2053 2047 2045 2005 2004 2006 2823 2824 2059 , m2053 m2047 (m2045) f2005 m2004 (m2006) m2823 m2824 f2059 , FFDHFSSD, 2053 2059, 2004 2005, G1, 1, G-2, 1, 4, 4
6, 2053, m, 2059, f, 2004, m, 2005, f, 2053 2047 2046 2005 2004 2006 2823 2824 2059 , m2053 m2047 (f2046) f2005 m2004 (m2006) m2823 m2824 f2059 , FMDHFSSD, 2053 2059, 2004 2005, G1, 1, G-2, 1, 4, 4
7, 2063, m, 2070, f, 2004, m, 2005, f, 2063 2050 2047 2045 2005 2004 2095 2107 2070 , m2063 m2050 m2047 (m2045) f2005 (m2004) f2095 f2107 f2070 , FFFDHDDD, 2063 2070, 2004 2005, G2, 1, G-3, 0, 5, 3
8, 2063, m, 2070, f, 2004, m, 2005, f, 2063 2050 2047 2046 2005 2004 2095 2107 2070 , m2063 m2050 m2047 (f2046) f2005 (m2004) f2095 f2107 f2070 , FFMDHDDD, 2063 2070, 2004 2005, G2, 1, G-3, 0, 5, 3
9, 2559, m, 2076, f, 2004, m, 2005, f, 2559 2557 2008 2006 2004 2005 2045 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2004 f2005 (m2045) m2047 f2052 f2076 , MFFSWFSDD, 2076 2559, 2004 2005, G2, 1, G-2, 1, 5, 4
10, 2559, m, 2076, f, 2004, m, 2005, f, 2559 2557 2008 2006 2004 2005 2046 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2004 f2005 (f2046) m2047 f2052 f2076 , MFFSWMSDD, 2076 2559, 2004 2005, G2, 1, G-2, 1, 5, 4
13, 2822, m, 2163, f, 2004, m, 2005, f, 2822 2823 2006 2004 2005 2045 2163 , m2822 m2823 (m2006) m2004 f2005 (m2045) f2163 , FFSWFD, 2163 2822, 2004 2005, G1, 1, G0, 1, 4, 2
14, 2822, m, 2163, f, 2004, m, 2005, f, 2822 2823 2006 2004 2005 2046 2163 , m2822 m2823 (m2006) m2004 f2005 (f2046) f2163 , FFSWMD, 2163 2822, 2004 2005, G1, 1, G0, 1, 4, 2
15, 2008, m, 2861, f, 2012, m, 2010, f, 2008 2006 2010 2012 2842 2836 2861 , m2008 (m2006) f2010 m2012 (m2842) f2836 f2861 , FDHFDD, 2008 2861, 2010 2012, G0, 1, G-1, 1, 3, 3
15, 2008, m, 2861, f, 2012, m, 2010, f, 2008 2006 2010 2012 2842 2836 2861 , m2008 (m2006) f2010 m2012 (m2842) f2836 f2861 , FDHFDD, 2008 2861, 2010 2012, G0, 1, G-1, 1, 3, 3
16, 2008, m, 2861, f, 2012, m, 2010, f, 2008 2006 2010 2012 2843 2836 2861 , m2008 (m2006) f2010 m2012 (f2843) f2836 f2861 , FDHMDD, 2008 2861, 2010 2012, G0, 1, G-1, 1, 3, 3
